field_of_study,gpa,python,java,c_cpp,sql,machine_learning,data_analysis,cloud_computing,cybersecurity,web_development,devops,networking,communication,leadership,problem_solving,teamwork,adaptability,tech_total,soft_total,tech_soft_ratio,ds_score,da_score,da_score_v2,ba_score,mle_score,de_score,se_score,ce_score,is_data_engineer,is_data_analyst,is_software_dev,is_cloud_expert,is_heavy_ml,is_data_expert,dev_vs_data,ml_vs_dev,analytics_no_infra,infra_no_analytics,da_vs_ds
AI,3.62,1,1,0,1,1,0,1,0,0,1,0,3,1,5,3,4,6,16,0.35294117647058826,4,5,6,9,5,8,4,4,1,0,1,1,1,0,0,0,-1,2,-1
Software Engineering,2.83,0,0,0,1,1,0,0,0,0,0,0,4,4,4,2,4,2,18,0.10526315789473684,3,6,8,15,2,3,1,0,0,0,0,0,0,0,-1,1,1,0,-1
Software Engineering,2.89,1,1,0,0,0,0,0,0,0,1,1,4,4,5,2,3,4,18,0.21052631578947367,1,4,7,15,2,6,5,4,0,0,1,0,0,0,1,-1,-1,2,0
Computer Science,3.43,0,0,0,1,0,1,0,0,1,1,0,3,2,4,3,5,4,17,0.2222222222222222,2,7,9,12,1,5,3,2,0,1,0,0,0,1,-1,-1,1,0,1
Software Engineering,3.18,0,1,0,0,0,0,1,1,0,1,0,4,4,3,1,3,4,15,0.25,0,4,5,14,2,6,4,6,0,0,1,1,0,0,1,-1,-2,2,0
Data Science,3.72,1,0,0,1,0,1,0,0,0,1,0,2,1,1,5,1,4,10,0.36363636363636365,3,6,9,5,2,6,2,2,0,1,0,0,0,1,-2,0,1,0,1
AI,3.69,1,1,0,1,0,0,1,0,0,1,1,2,2,3,3,3,6,13,0.42857142857142855,2,4,6,7,3,10,5,6,1,0,1,1,0,0,0,-1,-1,3,0
Computer Science,3.2,1,0,1,1,1,1,1,0,0,0,0,3,2,5,4,3,6,17,0.3333333333333333,5,7,9,12,4,5,2,1,0,0,0,0,1,1,-1,1,1,0,0
Data Science,2.59,1,1,0,0,1,0,0,1,1,0,1,2,3,1,4,3,6,13,0.42857142857142855,3,2,5,6,3,3,6,2,0,0,1,0,1,0,2,-1,0,1,-1
Data Science,2.99,1,0,0,1,0,0,1,1,1,1,1,2,3,5,5,2,7,17,0.3888888888888889,2,4,6,10,3,10,5,7,1,0,1,1,0,0,0,-1,-1,3,0
Cybersecurity,2.8,0,0,0,1,1,1,1,0,0,1,1,4,5,4,1,4,6,18,0.3157894736842105,4,8,8,16,4,7,0,4,1,0,0,1,0,1,-2,1,0,2,0
Cybersecurity,3.18,0,1,1,0,1,0,1,1,1,1,1,2,3,2,3,3,8,13,0.5714285714285714,2,2,2,7,4,6,6,6,0,0,1,1,0,0,3,-1,-2,3,-1
Software Engineering,2.96,0,0,0,1,0,1,0,0,1,0,0,4,2,4,5,4,3,19,0.15,2,8,11,15,0,3,3,0,0,1,0,0,0,1,-1,-1,2,-1,1
Cybersecurity,3.83,1,0,0,0,0,0,1,1,1,0,1,2,1,4,1,3,5,11,0.4166666666666667,1,2,5,8,2,6,5,5,0,0,1,0,0,0,1,-1,-1,2,0
Computer Science,2.9,1,1,1,0,0,0,0,0,0,0,1,5,4,2,3,4,4,18,0.21052631578947367,1,5,9,15,1,4,6,2,0,0,1,0,0,0,2,-1,0,1,0
Cybersecurity,3.49,0,0,1,0,0,0,0,0,0,1,0,5,1,2,5,4,2,17,0.1111111111111111,0,5,7,12,1,4,3,3,0,0,0,0,0,0,1,0,-1,1,0
Cybersecurity,3.4,1,0,0,1,1,0,0,0,0,1,0,5,3,2,4,4,4,18,0.21052631578947367,4,7,9,12,4,6,2,2,0,0,0,0,1,0,-1,1,0,1,-1
Data Science,3.45,1,0,0,1,1,1,0,0,1,0,0,4,3,4,3,3,5,17,0.2777777777777778,5,8,11,14,3,3,3,-1,0,0,0,0,1,1,-1,0,2,-1,0
Cybersecurity,3.66,0,1,0,1,1,1,1,0,0,0,1,3,3,4,5,1,6,16,0.35294117647058826,4,7,8,13,3,5,2,2,0,0,0,0,0,1,-1,0,1,1,0
Data Science,2.99,1,0,0,1,0,1,1,0,0,0,0,3,1,3,3,3,4,13,0.2857142857142857,3,7,10,10,2,6,2,2,0,1,0,0,0,1,-2,0,1,0,1
Computer Science,3.2,1,0,0,1,1,1,0,0,0,0,0,3,4,5,2,4,4,18,0.21052631578947367,5,7,10,14,3,3,1,-1,0,0,0,0,1,1,-2,1,2,-1,0
AI,3.57,1,0,0,0,0,1,1,0,0,0,0,1,4,4,2,3,3,14,0.2,2,3,6,10,2,4,2,2,0,0,0,0,0,0,-1,0,0,0,1
Cybersecurity,3.01,1,0,0,1,0,1,0,1,0,0,0,3,2,4,5,4,4,18,0.21052631578947367,3,7,11,12,1,4,2,1,0,1,0,0,0,1,-2,0,2,-1,1
Software Engineering,3.18,0,1,0,0,1,0,1,0,0,1,0,3,1,4,2,3,4,13,0.2857142857142857,2,3,3,9,4,5,3,4,0,0,1,1,0,0,1,0,-2,2,-1
Cybersecurity,3.91,1,0,1,1,0,1,0,1,0,1,0,3,2,3,4,4,6,16,0.35294117647058826,3,7,10,10,2,6,3,3,0,1,0,0,0,1,-1,0,1,0,1
Computer Science,2.93,0,1,0,0,1,1,1,0,1,0,0,4,3,3,3,3,5,16,0.29411764705882354,3,6,7,14,3,2,4,1,0,0,0,0,0,0,1,-1,0,0,0
AI,3.59,0,1,1,1,1,1,1,1,1,0,0,3,1,5,1,1,8,11,0.6666666666666666,4,7,8,12,3,4,5,2,0,0,0,0,0,1,1,-1,1,0,0
AI,3.98,1,1,0,0,0,0,0,1,0,0,0,5,4,4,4,5,3,22,0.13043478260869565,1,5,9,17,1,3,5,2,0,0,1,0,0,0,1,-1,0,0,0
AI,2.91,0,0,1,0,0,1,0,1,1,1,1,3,5,5,4,5,6,22,0.2608695652173913,1,5,7,16,1,4,4,4,0,0,0,0,0,0,1,-1,0,1,1
Software Engineering,3.44,1,1,0,1,0,0,1,0,0,0,0,5,2,1,1,4,4,13,0.2857142857142857,2,7,10,12,2,7,5,3,0,0,1,0,0,0,0,-1,0,1,0
Data Science,3.55,1,1,1,1,1,1,0,0,0,0,0,4,2,4,3,4,6,17,0.3333333333333333,5,8,11,13,3,3,4,-1,0,0,0,0,1,1,0,0,2,-1,0
Computer Science,2.98,0,1,0,0,1,0,0,0,0,0,1,5,2,4,2,2,3,15,0.1875,2,5,7,15,2,2,3,1,0,0,1,0,0,0,1,0,0,1,-1
Software Engineering,2.72,1,1,0,1,0,1,1,0,0,0,1,3,1,4,3,5,6,16,0.35294117647058826,3,7,10,11,2,7,4,3,0,1,0,0,0,1,-1,-1,1,1,1
Cybersecurity,3.41,0,0,0,0,0,0,1,1,0,0,1,2,2,5,3,5,3,17,0.16666666666666666,0,2,4,11,1,5,2,5,0,0,0,0,0,0,0,0,-1,2,0
Software Engineering,3.82,1,0,0,1,1,0,1,0,1,0,0,5,1,4,3,1,5,14,0.3333333333333333,4,7,9,13,4,6,4,2,0,0,1,0,1,0,0,0,0,1,-1
Software Engineering,2.78,1,0,0,0,0,1,1,1,0,0,0,5,4,2,2,3,4,16,0.23529411764705882,2,7,10,16,2,4,2,3,0,0,0,0,0,0,-1,0,0,0,1
Data Science,2.77,0,1,0,1,0,1,0,0,0,0,0,2,3,5,5,3,3,18,0.15789473684210525,2,6,9,13,0,3,3,0,0,1,0,0,0,1,-1,-1,2,-1,1
Software Engineering,3.19,0,1,1,0,0,1,1,0,0,1,0,2,3,5,2,4,5,16,0.29411764705882354,1,4,5,12,2,5,4,4,0,0,0,1,0,0,1,-1,-1,1,1
Software Engineering,3.55,0,0,0,1,0,1,0,0,0,1,0,5,5,5,2,4,3,21,0.13636363636363635,2,9,11,20,1,5,1,2,0,1,0,0,0,1,-2,0,1,0,1
AI,3.73,0,1,0,0,0,0,0,0,1,1,1,5,5,2,4,2,4,18,0.21052631578947367,0,5,7,16,1,5,6,4,0,0,1,0,0,0,2,-2,-1,2,0
Data Science,2.7,1,1,1,1,0,1,0,1,1,0,0,4,1,5,2,2,7,14,0.4666666666666667,3,8,12,14,1,4,7,1,0,1,0,0,0,1,1,-2,2,-1,1
Computer Science,3.61,0,0,1,1,1,1,0,1,1,0,0,2,1,3,5,5,6,16,0.35294117647058826,4,6,8,8,2,2,3,0,0,0,0,0,0,1,0,0,2,-1,0
Software Engineering,3.57,0,1,0,0,1,0,0,0,0,1,0,1,2,5,2,1,3,11,0.25,2,1,2,7,3,3,3,2,0,0,1,0,0,0,1,0,-1,1,-1
Software Engineering,3.18,1,0,0,1,0,1,1,1,0,0,1,5,4,2,4,5,6,20,0.2857142857142857,3,9,12,16,2,7,2,4,0,1,0,0,0,1,-2,0,1,1,1
AI,3.28,0,0,0,1,0,1,0,0,0,1,1,3,1,2,5,1,4,12,0.3076923076923077,2,7,9,9,1,6,1,3,0,1,0,0,0,1,-2,0,1,1,1
Software Engineering,3.35,1,0,1,1,0,1,0,1,1,1,1,1,1,4,5,2,8,13,0.5714285714285714,3,5,8,6,2,7,5,4,0,1,0,0,0,1,0,-1,1,1,1
Computer Science,2.65,1,0,1,1,0,0,0,1,0,1,0,3,3,2,4,2,5,14,0.3333333333333333,2,5,8,9,2,7,4,4,0,0,0,0,0,0,0,0,0,1,0
Cybersecurity,3.09,0,0,0,1,0,1,0,0,0,0,0,5,2,5,4,3,2,19,0.1,2,9,12,18,0,3,1,0,0,1,0,0,0,1,-2,0,2,-1,1
Software Engineering,2.69,1,1,1,1,0,1,1,0,0,0,1,3,3,4,3,4,7,17,0.3888888888888889,3,7,10,13,2,7,5,3,0,1,0,0,0,1,0,-1,1,1,1
Data Science,3.74,0,1,1,0,0,1,1,0,0,1,0,4,5,4,2,1,5,16,0.29411764705882354,1,6,7,17,2,5,4,4,0,0,0,1,0,0,1,-1,-1,1,1
Software Engineering,3.03,0,1,1,0,0,1,1,0,0,1,1,4,2,3,3,5,6,17,0.3333333333333333,1,6,7,13,2,6,4,5,0,0,0,1,0,0,1,-1,-1,2,1
Data Science,3.13,1,0,1,1,1,0,1,1,0,0,0,5,5,2,5,3,6,20,0.2857142857142857,4,7,9,15,4,6,3,3,0,0,0,0,1,0,0,1,0,1,-1
Computer Science,2.75,0,1,1,1,0,0,1,1,1,0,0,1,1,4,2,3,6,11,0.5,1,3,5,7,1,6,7,4,0,0,1,0,0,0,2,-2,0,1,0
Data Science,3.4,1,0,1,1,0,0,0,0,1,1,1,5,3,2,1,1,6,12,0.46153846153846156,2,7,10,13,2,8,6,4,0,0,1,0,0,0,1,-1,0,2,0
Computer Science,2.94,0,1,0,1,0,0,1,0,1,0,0,5,3,4,4,3,4,19,0.2,1,7,9,17,1,6,6,3,0,0,1,0,0,0,1,-2,0,1,0
AI,2.87,1,0,0,1,0,1,0,0,0,0,0,4,4,4,4,2,3,18,0.15789473684210525,3,8,12,16,1,4,2,0,0,1,0,0,0,1,-2,0,2,-1,1
Software Engineering,3.19,1,0,1,1,1,0,1,1,1,1,0,3,1,3,2,2,8,11,0.6666666666666666,4,5,6,7,5,8,5,5,1,0,1,1,1,0,1,0,-1,2,-1
Cybersecurity,2.74,1,1,0,1,0,0,1,0,0,1,0,4,2,3,1,4,5,14,0.3333333333333333,2,6,8,11,3,9,5,5,1,0,1,1,0,0,0,-1,-1,2,0
Data Science,3.67,1,0,0,1,0,0,0,0,0,1,0,3,4,5,3,3,3,18,0.15789473684210525,2,5,8,13,2,7,3,3,0,0,0,0,0,0,-1,0,0,1,0
Computer Science,3.97,1,1,1,1,0,1,0,1,0,0,0,4,3,1,1,2,6,11,0.5,3,8,12,12,1,4,5,1,0,1,0,0,0,1,0,-1,2,-1,1
Data Science,3.78,1,0,0,1,1,1,1,0,0,0,0,3,1,5,2,5,5,16,0.29411764705882354,5,7,9,11,4,5,1,1,0,0,0,0,1,1,-2,1,1,0,0
Data Science,2.94,1,0,0,0,1,1,1,0,1,0,1,4,3,1,5,3,6,16,0.35294117647058826,4,6,8,11,4,4,3,2,0,0,0,0,1,0,0,0,0,1,0
Cybersecurity,3.8,0,0,0,1,1,0,1,1,0,1,1,5,2,4,5,3,6,19,0.3,3,7,7,14,4,8,1,6,1,0,0,1,0,0,-1,1,-1,3,-1
Computer Science,2.63,1,0,0,1,0,1,1,0,0,1,1,2,1,4,3,3,6,13,0.42857142857142855,3,6,8,8,3,9,2,5,1,1,0,1,0,1,-2,0,0,2,1
Computer Science,4.0,1,0,1,0,1,1,0,0,0,0,0,4,3,5,2,3,4,17,0.2222222222222222,4,6,9,15,3,1,2,-1,0,0,0,0,1,0,0,1,1,-1,0
Software Engineering,3.57,1,0,1,0,0,0,1,1,0,0,0,5,5,4,4,3,4,21,0.18181818181818182,1,5,8,18,2,5,4,4,0,0,0,0,0,0,1,0,-1,1,0
Software Engineering,3.5,0,1,0,1,1,1,0,1,1,1,1,5,2,4,4,3,8,18,0.42105263157894735,4,9,10,15,3,5,4,3,0,0,0,0,0,1,0,-1,1,1,0
Data Science,3.33,0,1,0,0,0,1,0,1,0,1,1,1,1,4,2,5,5,13,0.35714285714285715,1,3,5,7,1,4,3,4,0,0,0,0,0,0,0,-1,0,1,1
Computer Science,3.02,1,0,0,0,0,1,1,1,0,1,0,4,4,2,2,2,5,14,0.3333333333333333,2,6,8,13,3,6,2,5,0,0,0,1,0,0,-1,0,-1,1,1
Cybersecurity,3.74,1,0,0,1,1,1,0,0,0,0,1,1,1,1,3,2,5,8,0.5555555555555556,5,5,8,3,3,4,1,0,0,0,0,0,1,1,-2,1,2,0,0
Computer Science,3.49,0,0,1,1,0,0,1,0,1,0,0,4,5,3,1,3,4,16,0.23529411764705882,1,6,8,16,1,6,5,3,0,0,1,0,0,0,1,-1,0,1,0
Data Science,3.26,0,0,1,1,1,0,1,1,1,0,0,4,2,5,2,1,6,14,0.4,3,6,7,14,3,5,4,3,0,0,1,0,0,0,1,0,0,1,-1
Software Engineering,3.48,1,1,1,0,1,1,1,0,1,0,1,3,5,5,5,2,8,20,0.38095238095238093,4,5,7,15,4,4,6,2,0,0,0,0,1,0,2,-1,0,1,0
Computer Science,2.54,0,1,1,0,1,1,1,1,0,0,0,2,5,2,5,5,6,19,0.3,3,4,5,11,3,2,3,2,0,0,0,0,0,0,1,0,0,0,0
Computer Science,3.84,0,0,0,0,1,1,1,0,0,0,0,5,5,3,2,5,3,20,0.14285714285714285,3,7,8,18,3,2,0,1,0,0,0,0,0,0,-1,1,0,0,0
Software Engineering,3.38,1,1,0,1,0,0,1,0,0,1,1,3,1,4,3,4,6,15,0.375,2,5,7,9,3,10,5,6,1,0,1,1,0,0,0,-1,-1,3,0
Data Science,2.51,1,0,1,1,1,1,0,0,1,0,0,4,2,2,2,3,6,13,0.42857142857142855,5,8,11,11,3,3,4,-1,0,0,0,0,1,1,0,0,2,-1,0
AI,2.52,1,0,0,1,0,0,1,0,0,1,0,2,4,4,2,2,4,14,0.26666666666666666,2,4,6,10,3,9,3,5,1,0,0,1,0,0,-1,0,-1,2,0
Software Engineering,2.35,1,0,0,1,0,0,1,0,0,1,0,3,1,4,1,5,4,14,0.26666666666666666,2,5,7,9,3,9,3,5,1,0,0,1,0,0,-1,0,-1,2,0
Software Engineering,2.92,1,0,1,1,0,1,1,1,0,1,0,4,2,4,2,4,7,16,0.4117647058823529,3,8,10,13,3,8,3,5,1,1,0,1,0,1,-1,0,0,1,1
Computer Science,3.42,1,0,0,1,0,1,0,1,0,0,0,3,3,2,2,4,4,14,0.26666666666666666,3,7,11,11,1,4,2,1,0,1,0,0,0,1,-2,0,2,-1,1
Computer Science,2.67,1,1,1,1,0,1,0,0,0,0,0,5,3,3,2,2,5,15,0.3125,3,9,13,16,1,4,5,0,0,1,0,0,0,1,0,-1,2,-1,1
Computer Science,3.06,1,0,0,1,0,0,0,0,0,0,0,3,2,4,3,5,2,17,0.1111111111111111,2,5,9,11,1,5,3,1,0,0,0,0,0,0,-1,0,1,0,0
Computer Science,3.32,1,0,0,0,1,1,1,1,0,1,0,3,1,1,4,3,6,12,0.46153846153846156,4,5,6,6,5,5,1,4,0,0,0,1,1,0,-1,1,-1,1,0
Cybersecurity,2.56,1,1,1,1,0,1,0,0,1,1,1,3,2,2,2,1,8,10,0.7272727272727273,3,7,10,9,2,7,7,3,0,1,0,0,0,1,1,-2,1,1,1
Computer Science,3.67,1,0,0,1,0,1,0,0,0,0,0,2,5,5,5,4,3,21,0.13636363636363635,3,6,10,14,1,4,2,0,0,1,0,0,0,1,-2,0,2,-1,1
Cybersecurity,2.96,1,0,0,1,0,1,0,0,0,0,0,4,2,4,2,4,3,16,0.17647058823529413,3,8,12,14,1,4,2,0,0,1,0,0,0,1,-2,0,2,-1,1
Software Engineering,2.57,1,1,1,0,1,0,0,0,0,1,1,3,5,2,1,3,6,14,0.4,3,3,5,10,4,5,5,3,0,0,1,0,1,0,2,0,-1,2,-1
Cybersecurity,3.91,1,0,0,1,0,1,0,0,0,1,0,4,3,2,3,5,4,17,0.2222222222222222,3,8,11,12,2,6,2,2,0,1,0,0,0,1,-2,0,1,0,1
Software Engineering,3.06,0,0,1,0,0,0,1,0,1,1,0,2,5,2,3,2,4,14,0.26666666666666666,0,2,3,10,2,6,5,5,0,0,1,1,0,0,2,-1,-2,2,0
Computer Science,3.46,1,1,1,1,1,0,0,0,1,1,1,3,4,1,1,4,8,13,0.5714285714285714,4,5,7,8,4,7,7,3,0,0,1,0,1,0,2,-1,0,2,-1
Data Science,2.67,1,1,0,1,0,1,1,0,0,1,1,4,3,4,3,4,7,18,0.3684210526315789,3,8,10,14,3,9,4,5,1,1,0,1,0,1,-1,-1,0,2,1
AI,3.68,1,0,0,0,1,0,1,1,1,0,0,4,5,2,5,4,5,20,0.23809523809523808,3,4,6,13,4,4,4,3,0,0,1,0,1,0,1,0,-1,1,-1
Cybersecurity,3.27,0,1,0,0,0,0,1,0,0,1,1,4,1,4,3,3,4,15,0.25,0,4,5,12,2,7,4,6,0,0,1,1,0,0,1,-1,-2,3,0
Software Engineering,4.0,1,0,1,1,0,0,0,1,1,1,1,3,1,4,4,4,7,16,0.4117647058823529,2,5,8,9,2,8,6,5,0,0,1,0,0,0,1,-1,0,2,0
Computer Science,2.81,1,0,1,0,0,0,0,1,0,0,0,5,2,5,2,4,3,18,0.15789473684210525,1,5,9,16,1,3,4,2,0,0,0,0,0,0,1,0,0,0,0
AI,2.86,0,1,1,0,0,0,1,0,1,1,0,3,4,5,4,1,5,17,0.2777777777777778,0,3,4,14,2,6,7,5,0,0,1,1,0,0,3,-2,-2,2,0
Computer Science,3.03,1,1,0,1,0,0,1,0,0,0,1,4,3,3,4,5,5,19,0.25,2,6,9,13,2,8,5,4,0,0,1,0,0,0,0,-1,0,2,0
AI,2.61,1,0,1,0,0,0,0,0,0,0,0,5,5,5,5,5,2,25,0.07692307692307693,1,5,9,19,1,3,4,1,0,0,0,0,0,0,1,0,0,0,0
Data Science,3.48,1,0,0,1,0,1,1,0,0,1,0,4,4,5,2,5,5,20,0.23809523809523808,3,8,10,16,3,8,2,4,1,1,0,1,0,1,-2,0,0,1,1
Software Engineering,3.44,1,1,0,1,1,0,0,0,0,0,0,1,1,2,3,1,4,8,0.4444444444444444,4,3,6,3,3,4,4,0,0,0,1,0,1,0,0,0,1,0,-1
Cybersecurity,3.33,1,1,1,1,1,0,1,1,0,1,1,1,1,1,2,1,9,6,1.2857142857142858,4,3,4,1,5,9,5,6,1,0,1,1,1,0,1,0,-1,3,-1
Software Engineering,2.88,1,0,0,1,0,0,1,1,1,1,1,2,4,3,5,3,7,17,0.3888888888888889,2,4,6,9,3,10,5,7,1,0,1,1,0,0,0,-1,-1,3,0
Cybersecurity,3.39,1,0,0,0,1,1,1,1,0,0,1,5,1,1,3,4,6,14,0.4,4,7,9,11,4,4,1,3,0,0,0,0,1,0,-1,1,0,1,0
Cybersecurity,3.24,0,0,1,1,0,0,0,1,1,1,1,2,2,4,5,2,6,15,0.375,1,4,6,9,1,7,5,5,0,0,1,0,0,0,1,-1,0,2,0
Data Science,3.37,1,0,0,1,0,1,0,0,0,0,0,4,5,5,4,4,3,22,0.13043478260869565,3,8,12,18,1,4,2,0,0,1,0,0,0,1,-2,0,2,-1,1
Cybersecurity,3.62,0,1,0,0,1,1,0,1,1,1,1,5,3,4,1,4,7,17,0.3888888888888889,3,7,8,16,3,3,4,3,0,0,0,0,0,0,1,-1,0,1,0
Data Science,2.74,0,1,1,1,1,1,1,0,1,0,1,1,2,3,2,3,8,11,0.6666666666666666,4,5,6,7,3,5,5,2,0,0,0,0,0,1,1,-1,1,1,0
Cybersecurity,3.79,1,0,0,1,0,1,0,0,0,0,1,3,3,3,4,2,4,15,0.25,3,7,11,12,1,5,2,1,0,1,0,0,0,1,-2,0,2,0,1
Cybersecurity,3.11,1,1,1,0,1,0,0,1,0,1,1,5,5,5,3,5,7,23,0.2916666666666667,3,5,7,17,4,5,5,4,0,0,1,0,1,0,2,0,-1,2,-1
AI,3.37,0,0,1,0,1,1,0,1,1,0,0,3,2,4,3,5,5,17,0.2777777777777778,3,5,7,12,2,0,3,0,0,0,0,0,0,0,1,0,1,-1,0
Cybersecurity,3.48,0,0,1,0,1,1,1,0,0,1,1,3,2,4,5,2,6,16,0.35294117647058826,3,5,5,11,4,5,1,4,0,0,0,1,0,0,0,1,-1,2,0
Software Engineering,3.47,0,0,0,1,1,1,1,0,0,1,0,3,3,3,3,1,5,13,0.35714285714285715,4,7,7,11,4,6,0,3,1,0,0,1,0,1,-2,1,0,1,0
Cybersecurity,3.7,0,1,0,0,1,0,0,1,1,0,0,4,5,4,4,5,4,22,0.17391304347826086,2,4,6,16,2,1,5,1,0,0,1,0,0,0,2,-1,0,0,-1
Data Science,2.88,1,1,0,0,1,1,0,1,0,1,0,5,1,1,4,3,6,14,0.4,4,7,9,10,4,3,3,2,0,0,0,0,1,0,0,0,0,0,0
Cybersecurity,3.6,1,1,1,1,1,0,1,0,1,0,1,1,5,5,3,3,8,17,0.4444444444444444,4,3,5,10,4,7,7,3,0,0,1,0,1,0,2,-1,0,2,-1
Software Engineering,2.97,1,1,0,1,1,0,1,0,0,0,0,4,4,5,2,3,5,18,0.2631578947368421,4,6,8,15,4,6,4,2,0,0,1,0,1,0,0,0,0,1,-1
Computer Science,3.4,1,0,0,1,1,0,1,0,0,0,0,3,1,4,4,5,4,17,0.2222222222222222,4,5,7,9,4,6,2,2,0,0,0,0,1,0,-1,1,0,1,-1
Software Engineering,3.77,1,1,0,0,1,0,1,0,0,1,1,3,2,4,3,3,6,15,0.375,3,3,4,9,5,7,4,5,0,0,1,1,1,0,1,0,-2,3,-1
Computer Science,3.21,0,0,0,1,1,1,0,0,0,0,0,1,2,1,5,3,3,12,0.23076923076923078,4,5,7,5,2,2,0,-1,0,0,0,0,0,1,-2,1,2,-1,0
Software Engineering,3.11,1,0,0,1,1,0,1,0,0,1,1,5,2,3,2,5,6,17,0.3333333333333333,4,7,8,12,5,9,2,5,1,0,0,1,1,0,-1,1,-1,3,-1
Computer Science,2.71,1,1,0,1,0,0,1,1,1,1,0,3,1,4,2,4,7,14,0.4666666666666667,2,5,7,9,3,9,7,6,1,0,1,1,0,0,1,-2,-1,2,0
AI,2.99,1,0,1,0,0,0,1,0,0,1,0,1,5,3,4,2,4,15,0.25,1,1,3,8,3,7,4,5,0,0,0,1,0,0,1,0,-2,2,0
Cybersecurity,3.88,1,1,0,1,1,1,0,0,0,1,0,5,3,5,3,5,6,21,0.2727272727272727,5,9,11,16,4,5,3,1,0,0,0,0,1,1,-1,0,1,0,0
Computer Science,2.68,0,0,1,1,1,0,0,0,1,1,0,5,5,5,1,4,5,20,0.23809523809523808,3,7,8,18,3,5,4,2,0,0,1,0,0,0,1,0,0,1,-1
AI,3.0,1,0,0,1,0,1,1,0,0,1,1,5,1,5,4,5,6,20,0.2857142857142857,3,9,11,15,3,9,2,5,1,1,0,1,0,1,-2,0,0,2,1
Software Engineering,3.66,1,1,0,1,0,0,1,1,1,0,0,3,3,4,4,2,6,16,0.35294117647058826,2,5,8,12,2,7,7,4,0,0,1,0,0,0,1,-2,0,1,0
Cybersecurity,2.64,0,1,0,0,1,0,1,0,1,1,1,3,4,4,2,2,6,15,0.375,2,3,3,12,4,6,5,5,0,0,1,1,0,0,2,-1,-2,3,-1
Data Science,3.92,1,1,1,1,0,0,0,1,0,1,0,4,3,5,2,4,6,18,0.3157894736842105,2,6,9,14,2,7,6,4,0,0,1,0,0,0,1,-1,0,1,0
AI,3.08,0,0,0,1,1,0,1,0,1,0,1,5,2,2,3,1,5,13,0.35714285714285715,3,7,8,13,3,6,3,3,0,0,1,0,0,0,0,0,0,2,-1
Software Engineering,3.16,0,0,1,0,0,1,0,0,0,1,0,4,5,2,4,2,3,17,0.16666666666666666,1,6,8,15,1,3,2,2,0,0,0,0,0,0,0,0,0,0,1
