job_title_unified,job_posted_date,vacancy_count
Data Engineer,2023-02-12,4988
Data Engineer,2023-02-19,4846
Data Engineer,2023-02-26,4628
Data Engineer,2023-03-05,4667
Data Engineer,2023-03-12,4550
Data Engineer,2023-03-19,4452
Data Engineer,2023-03-26,4068
Data Engineer,2023-04-02,4363
Data Engineer,2023-04-09,3941
Data Engineer,2023-04-16,4285
Data Engineer,2023-04-23,4327
Data Engineer,2023-04-30,5050
Data Engineer,2023-05-07,4759
Data Engineer,2023-05-14,4695
Data Engineer,2023-05-21,2487
Data Engineer,2023-05-28,2882
Data Engineer,2023-06-04,4215
Data Engineer,2023-06-11,4626
Data Engineer,2023-06-18,4489
Data Engineer,2023-06-25,4628
Data Engineer,2023-07-02,4378
Data Engineer,2023-07-09,3994
Data Engineer,2023-07-16,4196
Data Engineer,2023-07-23,4507
Data Engineer,2023-07-30,4167
Data Engineer,2023-08-06,3809
Data Engineer,2023-08-13,3881
Data Engineer,2023-08-20,4414
Data Engineer,2023-08-27,4873
Data Engineer,2023-09-03,5368
Data Engineer,2023-09-10,4580
Data Engineer,2023-09-17,3821
Data Engineer,2023-09-24,4012
Data Engineer,2023-10-01,4239
Data Engineer,2023-10-08,4345
Data Engineer,2023-10-15,4427
Data Engineer,2023-10-22,4466
Data Engineer,2023-10-29,4183
Data Engineer,2023-11-05,4109
Data Engineer,2023-11-12,4163
Data Engineer,2023-11-19,4353
Data Engineer,2023-11-26,4704
Data Engineer,2023-12-03,3932
Data Engineer,2023-12-10,4227
Data Engineer,2023-12-17,4103
Data Engineer,2023-12-24,3702
Data Engineer,2023-12-31,2694
Data Scientist,2023-01-01,1018
Data Scientist,2023-01-08,5754
Data Scientist,2023-01-15,5803
Data Scientist,2023-01-22,5811
Data Scientist,2023-01-29,5525
Data Scientist,2023-02-05,4840
Data Scientist,2023-02-12,4446
Data Scientist,2023-02-19,3992
Data Scientist,2023-02-26,4090
Data Scientist,2023-03-05,3901
Data Scientist,2023-03-12,3842
Data Scientist,2023-03-19,3460
Data Scientist,2023-03-26,3497
Data Scientist,2023-04-02,3694
Data Scientist,2023-04-09,3411
Data Scientist,2023-04-16,3839
Data Scientist,2023-04-23,3896
Data Scientist,2023-04-30,4365
Data Scientist,2023-05-07,4014
Data Scientist,2023-05-14,3840
Data Scientist,2023-05-21,1919
Data Scientist,2023-05-28,2747
Data Scientist,2023-06-04,3369
Data Scientist,2023-06-11,3741
Data Scientist,2023-06-18,3914
Data Scientist,2023-06-25,3985
Data Scientist,2023-07-02,4146
Data Scientist,2023-07-09,3811
Data Scientist,2023-07-16,3869
Data Scientist,2023-07-23,4081
Data Scientist,2023-07-30,4048
Data Scientist,2023-08-06,4334
Data Scientist,2023-08-13,4127
Data Scientist,2023-08-20,4577
Data Scientist,2023-08-27,5193
Data Scientist,2023-09-03,5733
Data Scientist,2023-09-10,4060
Data Scientist,2023-09-17,3120
Data Scientist,2023-09-24,3521
Data Scientist,2023-10-01,3839
Data Scientist,2023-10-08,3782
Data Scientist,2023-10-15,4168
Data Scientist,2023-10-22,3923
Data Scientist,2023-10-29,3734
Data Scientist,2023-11-05,3592
Data Scientist,2023-11-12,3690
Data Scientist,2023-11-19,4089
Data Scientist,2023-11-26,4382
Data Scientist,2023-12-03,3678
Data Scientist,2023-12-10,3966
Data Scientist,2023-12-17,3680
Data Scientist,2023-12-24,3261
Data Scientist,2023-12-31,2126
Machine Learning Engineer,2023-01-01,51
Machine Learning Engineer,2023-01-08,305
Machine Learning Engineer,2023-01-15,316
Machine Learning Engineer,2023-01-22,298
Machine Learning Engineer,2023-01-29,333
Machine Learning Engineer,2023-02-05,297
Machine Learning Engineer,2023-02-12,267
Machine Learning Engineer,2023-02-19,254
Machine Learning Engineer,2023-02-26,226
Machine Learning Engineer,2023-03-05,278
Machine Learning Engineer,2023-03-12,246
Machine Learning Engineer,2023-03-19,213
Machine Learning Engineer,2023-03-26,213
Machine Learning Engineer,2023-04-02,248
Machine Learning Engineer,2023-04-09,218
Machine Learning Engineer,2023-04-16,247
Machine Learning Engineer,2023-04-23,235
Machine Learning Engineer,2023-04-30,242
Machine Learning Engineer,2023-05-07,227
Machine Learning Engineer,2023-05-14,205
Machine Learning Engineer,2023-05-21,124
Machine Learning Engineer,2023-05-28,142
Machine Learning Engineer,2023-06-04,219
Machine Learning Engineer,2023-06-11,264
Machine Learning Engineer,2023-06-18,227
Machine Learning Engineer,2023-06-25,254
Machine Learning Engineer,2023-07-02,261
Machine Learning Engineer,2023-07-09,278
Machine Learning Engineer,2023-07-16,234
Machine Learning Engineer,2023-07-23,271
Machine Learning Engineer,2023-07-30,295
Machine Learning Engineer,2023-08-06,266
Machine Learning Engineer,2023-08-13,282
Machine Learning Engineer,2023-08-20,300
Machine Learning Engineer,2023-08-27,327
Machine Learning Engineer,2023-09-03,367
Machine Learning Engineer,2023-09-10,280
Machine Learning Engineer,2023-09-17,249
Machine Learning Engineer,2023-09-24,286
Machine Learning Engineer,2023-10-01,324
Machine Learning Engineer,2023-10-08,343
Machine Learning Engineer,2023-10-15,322
Machine Learning Engineer,2023-10-22,302
Machine Learning Engineer,2023-10-29,287
Machine Learning Engineer,2023-11-05,300
Machine Learning Engineer,2023-11-12,283
Machine Learning Engineer,2023-11-19,312
Machine Learning Engineer,2023-11-26,337
Machine Learning Engineer,2023-12-03,297
Machine Learning Engineer,2023-12-10,322
Machine Learning Engineer,2023-12-17,301
Machine Learning Engineer,2023-12-24,237
Machine Learning Engineer,2023-12-31,268
Software Engineer,2023-01-01,160
Software Engineer,2023-01-08,1134
Software Engineer,2023-01-15,1193
Software Engineer,2023-01-22,1225
Software Engineer,2023-01-29,1106
Software Engineer,2023-02-05,1008
Software Engineer,2023-02-12,857
Software Engineer,2023-02-19,825
Software Engineer,2023-02-26,748
Software Engineer,2023-03-05,1119
Software Engineer,2023-03-12,904
Software Engineer,2023-03-19,589
Software Engineer,2023-03-26,657
Software Engineer,2023-04-02,844
Software Engineer,2023-04-09,874
Software Engineer,2023-04-16,1096
Software Engineer,2023-04-23,961
Software Engineer,2023-04-30,903
Software Engineer,2023-05-07,718
Software Engineer,2023-05-14,515
Software Engineer,2023-05-21,268
Software Engineer,2023-05-28,302
Software Engineer,2023-06-04,378
Software Engineer,2023-06-11,476
Software Engineer,2023-06-18,502
Software Engineer,2023-06-25,453
Software Engineer,2023-07-02,808
Software Engineer,2023-07-09,777
Software Engineer,2023-07-16,840
Software Engineer,2023-07-23,761
Software Engineer,2023-07-30,914
Software Engineer,2023-08-06,1069
Software Engineer,2023-08-13,940
Software Engineer,2023-08-20,1120
Software Engineer,2023-08-27,1182
Software Engineer,2023-09-03,1248
Software Engineer,2023-09-10,826
Software Engineer,2023-09-17,685
Software Engineer,2023-09-24,732
Software Engineer,2023-10-01,966
Software Engineer,2023-10-08,1004
Software Engineer,2023-10-15,981
Software Engineer,2023-10-22,954
Software Engineer,2023-10-29,996
Software Engineer,2023-11-05,954
Software Engineer,2023-11-12,961
Software Engineer,2023-11-19,982
Software Engineer,2023-11-26,1107
Software Engineer,2023-12-03,841
Software Engineer,2023-12-10,1032
Software Engineer,2023-12-17,899
Software Engineer,2023-12-24,817
Software Engineer,2023-12-31,718
